Timestamp,EventId,SourceIP,User,Raw_Message
2024-12-10 06:55:46,E27,173.234.31.186,,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!
2024-12-10 06:55:46,E13,173.234.31.186,,Invalid user webmaster from 173.234.31.186
2024-12-10 06:55:46,E12,,webmaster,input_userauth_request: invalid user webmaster [preauth]
2024-12-10 06:55:46,E21,,,pam_unix(sshd:auth): check pass; user unknown
2024-12-10 06:55:46,E20,173.234.31.186,,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186
2024-12-10 06:55:48,E10,173.234.31.186,webmaster,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2
2024-12-10 06:55:48,E2,,,Connection closed by 173.234.31.186 [preauth]
2024-12-10 07:02:47,E2,,,Connection closed by 212.47.254.145 [preauth]
2024-12-10 07:07:38,E13,52.80.34.196,,Invalid user test9 from 52.80.34.196
2024-12-10 07:07:38,E12,,test9,input_userauth_request: invalid user test9 [preauth]
2024-12-10 07:07:38,E21,,,pam_unix(sshd:auth): check pass; user unknown
2024-12-10 07:07:38,E20,,,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn
2024-12-10 07:07:45,E10,52.80.34.196,test9,Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2
2024-12-10 07:07:45,E24,52.80.34.196,,Received disconnect from 52.80.34.196: 11: Bye Bye [preauth]
2024-12-10 07:08:28,E27,173.234.31.186,,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!
2024-12-10 07:08:28,E13,173.234.31.186,,Invalid user webmaster from 173.234.31.186
2024-12-10 07:08:28,E12,,webmaster,input_userauth_request: invalid user webmaster [preauth]
2024-12-10 07:08:28,E21,,,pam_unix(sshd:auth): check pass; user unknown
2024-12-10 07:08:28,E20,173.234.31.186,,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186
2024-12-10 07:08:30,E10,173.234.31.186,webmaster,Failed password for invalid user webmaster from 173.234.31.186 port 39257 ssh2
2024-12-10 07:08:30,E2,,,Connection closed by 173.234.31.186 [preauth]
2024-12-10 07:11:42,E13,202.100.179.208,,Invalid user chen from 202.100.179.208
2024-12-10 07:11:42,E12,,chen,input_userauth_request: invalid user chen [preauth]
2024-12-10 07:11:42,E21,,,pam_unix(sshd:auth): check pass; user unknown
